,Rating,reviewTime,UserId,ItemId,reviewText,unixReviewTime,1,2,3,4,5
3493,5,"10 18, 2013",A2MTXSVB9MC8IO,B0012Y0ZG2,"Matrix Biolage Fortifying conditioner is excellent. I use it all the time specially when I go to the beach, I live it on to protect my hair.",1382054400,0,0,0,0,1
795,5,"04 19, 2016",A3N6811PDY2QM3,B0009RF9DW,Amazing! Instant relaxation.,1461024000,0,0,0,0,1
2429,5,"06 24, 2014",A1XDV760ZLXN57,B000URXP6E,I have used this off and on for several years and is great for natural curly hair. Can't find it in any stores so was glad to find it on line. I was told they quit making it.,1403568000,0,0,0,0,1
264,5,"05 5, 2016",A3ETTJOVI6C9V5,B00006L9LC,"I LOVE the smell, the texture, everything about it!!!  This is my absolute favorite.  I want the body lotion, but you usually can only find it in a set.  I just want the lotion, I have two bottles of perfume, just to get the lotion.  It's wonderful.",1462406400,0,0,0,0,1
1077,5,"04 29, 2009",A3LGT0FSQ3IDJO,B0009W7MG4,"The big difference between this one and the last M# Power is the color.  Otherwise, still the best razor I've used.",1240963200,0,0,0,0,1
4869,1,"03 21, 2017",A3PGXZ9FZ5TLOT,B00ATV35SY,"If I could leave a -5 star rating I would.  I am over 50 and it is so hard to get your hair to grow without shedding.  This was supposed be the summer I didn't wear a wig.  But I changed products for something cheaper because of the reviews, after a week my 4c hair came out in droves in the comb.  I washed it and I wanted to cry.  My edges easily came out and the middle back came out the worst.  Daily prior to washing I experienced so much loss.  But I thought dead ends this could not be happening to me.  Two years of growth my hair was down my back and healthy for the first time in 6 years.  I wore wigs and weaves...I get to take the wig off permanently....confidence...different hair styles, versatility.  Why? Why?  This is not fair.  I'm so upset....I can't stop crying.  Starting over with hair after 50 is not even a toss up.  Please read the negative reviews I didn't.  It's March...and now I'm ordering new wigs....this is not fair.  Signed  desperate.  I am a real customer not a fake review.  My hair was real and now it's not.  So thank you!!!!!!!",1490054400,1,0,0,0,0
4123,5,"03 6, 2016",A347D5SOZ68PPE,B001OHV1H4,Great product would buy from seller agian,1457222400,0,0,0,0,1
7034,5,"07 31, 2016",A3FJCKE6Y5N5JB,B01GPZ0FLW,These little refillable sprayers are so perfect! They are very attractive and made well. The quality is perfect! I love the colors and there is a color for everyone. I like to make essential oil blends and carry them in my purse. I also take them to work. These are the perfect size for travel. These would make fabulous gifts for friends. A really great set for the money for sure. I bought these at a discount to try them out and write an honest review. I will be buying more of these for sure!,1469923200,0,0,0,0,1
7500,5,"03 4, 2015",A16SGHCHJAB6IU,B00ABIOBNI,I really like this hair conditioner.  It is the only conditioner that I have found that gives my hair enough weight so that the ends are not flipping up and out of control.  It does this without an increase in oiliness.  I can use this conditioner and go two or three days without my hair getting all stringy and oily looking.,1425427200,0,0,0,0,1
3012,5,"06 13, 2016",A17B1H60A6A96P,B0012Y0ZG2,All of the different colognes and the price.,1465776000,0,0,0,0,1
2214,5,"08 20, 2015",A1LA3IVNDE22NW,B000URXP6E,"This is my favorite scent in the whole world.  Its very clean and smells like a warm summer day.  Unfortunately, it's been discontinued and very difficult to find.  I wish this one would come back, I love using it at the end of winter when I'm pining for the smells of summer.",1440028800,0,0,0,0,1
2994,5,"07 12, 2016",A3KL6I6EWV0MF6,B0012Y0ZG2,Love the this 2-1 shampoo and conditioner.  Does wonders for my hair and enjoy using it.,1468281600,0,0,0,0,1
544,5,"02 18, 2013",A2ZSMS6M1Q4Y9R,B00006L9LC,Smells great with out the allergy issues.  I wish I didn't have to have required number of words.  What more can I say about soap?,1361145600,0,0,0,0,1
5245,2,"04 30, 2017",A1VPSQ59G56IZT,B00IAZSG5S,Still searching for a perfume that smells like lilac. This isn't it,1493510400,0,1,0,0,0
1611,5,"09 24, 2009",A100WO06OQR8BQ,B000GLRREU,This jet is the most powerful I have ever had including previous Waterpiks. I have it set for 1/2 power and that is more than enough. If you want a strong burst of water you may want to try this one out.,1253750400,0,0,0,0,1
5416,5,"04 10, 2015",A2TXMYYGSZCSZ1,B00N2WQ2IW,"This is another great Pantene product. I only use a conditioner when I have a new perm because they tend to dry out my hair, and this really helps.  My granddaughters have long hair.  They always use a conditioner, and this works great for them too.  The scent is pleasant and not overpowering.",1428624000,0,0,0,0,1
4946,5,"05 20, 2013",A8FJHPCMKR28F,B000FOI48G,MY dentist recommended I get a waterpik after I had a dental implant and a crown.  Regular flossing just doesn't get in around the gum line like the waterpik does.  It is well worth the money and the little extra time to use it.,1369008000,0,0,0,0,1
6479,4,"01 17, 2016",A38FB414U3B72L,B018ETY3J2,A little harder to get to stamp then the other sets. Finally got all but one to stamp well,1452988800,0,0,0,1,0
7465,5,"07 18, 2013",AYORX1AK30JMB,B0089NNY4E,"Great product! I use it on my face, neck and arms after shaving. My skin feels great and my eyes don't sting when I perspire.",1374105600,0,0,0,0,1
2475,5,"01 11, 2014",A2KBQZJJRS5FKY,B000URXP6E,"It works amazing, fantastic, never used something like this before I highly recommend this product I will keep using it",1389398400,0,0,0,0,1
3088,5,"03 1, 2016",A26HF31NL346VR,B0012Y0ZG2,Loved the products however did think it was priced a little high wanted to get the lotion but the price with shipping and handling was way too much!,1456790400,0,0,0,0,1
3289,5,"03 4, 2015",A16SGHCHJAB6IU,B0012Y0ZG2,I really like this hair conditioner.  It is the only conditioner that I have found that gives my hair enough weight so that the ends are not flipping up and out of control.  It does this without an increase in oiliness.  I can use this conditioner and go two or three days without my hair getting all stringy and oily looking.,1425427200,0,0,0,0,1
5741,5,"01 24, 2016",AX3W584MF8UTO,B00W1J4SFG,"My 10 pack of lip masks, are so nice. I love the way it makes your.lips feel after using them. And they actually feel nice and cool when you apply them. Love them.",1453593600,0,0,0,0,1
6150,5,"08 21, 2016",AQJXAI9UU04KY,B010B5ZE4U,I love this highlighter.  It stays on and shines perfectly. I will DEFINATELY buy again,1471737600,0,0,0,0,1
8344,5,"07 4, 2016",A2OE7Q4HDWVIIG,B00X9U7ZHE,"Very cute! It's indeed metal as they say, and utterly unbending. It fits quite nicely, but may take a little finagling to set properly in the ear the first time around. Stays secure, and did not make my ear sore. I love it.",1467590400,0,0,0,0,1
5696,5,"06 16, 2016",AUPNID1GKJB34,B00U6DL5PK,"Excellent for insert with
""Remedy Home Poly Filled Easy Side Sleeper...""
I highly recommend for individuals with sleep apnea to prevent stress on ear when sleeping on one's side to reduce apnea events.",1466035200,0,0,0,0,1
8460,4,"06 20, 2016",A2Y771VL7HT81N,B012ELUFOS,"I do have some stretch marks on my thighs and my breasts (surprisingly none on my belly) mostly from the twin pregnancy and more from the weight gain.  While they usually do not bother me, they do make me self conscious during a swimming season.  The texture of my skin over the stretch mark area is not smooth anymore, so I do not believe a cream would make them completely disappear but I hope that it might make them fade and become less noticeable.  I just got another cream from Royal Sea recently and was so impressed with it, so I ordered this cream as well.

I received Royal Sea promptly and it was packaged in a heavy dark glass jar with a heavy plastic lid tightly wrapped in a bubble wrap.  Unfortunately, despite the protection, the lid was cracked when I received it.  The jar was sealed.  The cream itself is white and has a medium consistency.  I love the scent very much!  It smells like a blend of essential oils with ylang ylang being the most prominent.  The cream was easy to apply and was absorbed quickly and completely without leaving a greasy residue.  There was no stinging or any irritation upon the application.  I have been using this stretch cream for a few days now but I believe it is unreasonable to expect any noticeable changes in such a short period, especially for the old stretch marks.  I think it will take at least weeks and probably a few jars of cream to see any difference.  I am going to continue using it and will update my review if I see any changes in my stretch marks.  I received this stretch cream at a discounted price in exchange for my honest and unbiased review.",1466380800,0,0,0,1,0
6341,5,"12 2, 2015",ADS99W8WMEXZ2,B015W2RFVW,"I am in love with this for my son's beard.  He was not really trimming his beard, though he did go to a hairdresser a couple times for a trim.  But the hair clippers we have were just not cutting it.  This set comes in a great heavy duty plastic case and is specifically for beards or facial hair like my boyfriends chops.  It works really well, you can adjust how much you want to trim, it gives you a nice cut or trim and is very easy to use and clean out.  I love it. Perfect for anyone with a beard or facial hair.  So far there isn't anything I don't like about this trimmer.",1449014400,0,0,0,0,1
1716,5,"12 11, 2007",A28N2AWOVO2PB,B000PKKAGO,"I used to wonder what caused redness and skin irritation every time I shaved. When it started for me I tried switching to environmentally friendly shaving cream, then I changed my shaving blades, then I tried changing my aftershave, but nothing helped. Regardless of what I did the irritation always came back.

I think I finally found the answer after I started using the new Philips Norelco drive-shave system. First, let me sing a praise for its smooth design and ingenious way of reminding me when I need to clean the blades (a cool blue image of a water faucet appears on the handle immediately after each shave) and how many minutes of battery life remain (cool blue large numbers appear after every shave as a reminder). As far as I am concerned these are the two main things I need to know so that I can get the job done.  Next, let share with you how wonderful I feel after each shave. The benefits of dry shaving prevented my skin from being exposed to the sharp blades and water, which in my opinion are solely responsible for the irritation of my skin.

If I could recommend one minor improvement, it would be to make the system's blades sensitive enough to be able to remove even the smallest or toughest hairs on my neck. I find myself having to reapply some circulating effort around the same areas every time until I get all the hairs out of the way. Still, this is a small price to pay considering the fact that I am pain and embracement free after each shave. A great gift idea.",1197331200,0,0,0,0,1
7288,5,"04 26, 2011",A1M04H40ZVGWVG,B002PALGD8,"This is a great little gift set! The candle (which burns into a massage oil) isn't that great - more for ambience than scent & I have to be honest - I'm not all that interested in using hot candle wax to massage my partner. But the lotion & body oil are fantastic! The scent is sweet, but not over-powering, and the small travel sizes make it a nice way to try it without wasting money on a full sized product!",1303776000,0,0,0,0,1
4830,5,"10 9, 2012",AKMEY1BSHSDG7,B0094G39KE,"The most important comment I can make on this variety of Oral-B Glode floss is that it does not shred. I buy different brands of floss all the time, including store brands. There most definitely IS a difference. I would most definitely put this product on my shopping list because it is a stand-out for quality. It does the job without breaking, catching on dental work, and causing undue irritation. Recommended!",1349740800,0,0,0,0,1
703,5,"04 11, 2018",A3F53CPYRL46XZ,B0009RF9DW,"So, 5 stars it is.",1523404800,0,0,0,0,1
95,5,"03 6, 2018",A28G6HAG3I755Y,B00006L9LC,Great smell and products.,1520294400,0,0,0,0,1
5647,5,"05 11, 2015",A3QG0HA91HZWXK,B00S8LDM1M,Works as advertised,1431302400,0,0,0,0,1
4868,5,"10 30, 2017",A3HBZYCHTIGP5S,B00ATV35SY,"I am not paid to review this, I bought this with my own money. Let me tell you about my journey of my hair loss. My hair fell out so bad in 2012 due to menopause, then 2013 fatal car accident that almost cost my life, lucky I survived, but whole top of my head almost bald, anyone can see my scalp. I was so embarassed. I had to wear pony tail to cover the bald head. I tried several different brands of supplements for hair regrowth. Last year for almost full year I tried so hard to stay faithful to ""it's works hair, skin and nail supplements"" My hair grew long yes, but did not help with excessive shedding. I tried couple more after this products through amazon with no luck. Lastily I saw this when I was looking through google when I typed ""density"" hair supplement and this came up. I read reviews, photos and the brand's detail and thought to myself to try one month to see if I see any less shedding and density. I did not put review until I am on fourth week now, I took my 10x mirror, I was shocked to see baby hairs already showing on my temple, all the edge of my hair line! My crown area are already thicken, and feels strong. My husband even compliment on my hair and he said this is really working this time! So I had to order before I runs out! Thank you company for this and please bring back vitamin B that you carry because I would like to conjuct with this.",1509321600,0,0,0,0,1
2637,5,"02 12, 2016",ABDR6IJ93HFIO,B000WYJTZG,"This size 3/4 Helen of Troy Tangle Free Hot Air Brush is EXACTLY what I was searching for for my shorter length, baby fine hair!

1 As a hair dryer...This unit gets hot enough but not too hot. And, it drys my hair quickly.
STYLING: Just before it is fully dry, I use my hand to take the brush move in a circular motion for a fuller look. I lift the dryer up as I curl.
For a more curly look, I tuck the brush under just like it was a curling iron and leave it for about 10 to 15 seconds per curl.

2 DRY STYLING - I use this just like a curling iron, however, since I have dry hair, I place just a half dime sized to dime sized amount of VO5 and massage this into my scalp and hair BEFORE I style with this brush...this gives my hair a shiny, healthy look.
If you have oily or normal hair, just spray/spritz a tiny bit of water from a water spray bottle between shampoos to freshen/style...do this before your dry style. It only takes a very tiny amount of water for this.

3 Two levels...High and low. I use the High for brush drying and the Low for Styling.

4 I like thag there us an ON/OFF button on the plug area and also on the brush.

5 The quality of this is amazing, The brush/dryer is quiet.

6 The brush removes for easy cleaning.

7 The brush is tangle free in my hair, much better than a nylon bristled type.
This brush I find gentler on my hair than any combo Hot Brush Styler that I used in the past.

Personally, I am delighted with this Helen Of Troy Hot Brush. If you have shorter hair, or baby fine hair, or any type hair, I highly recommend this to you.",1455235200,0,0,0,0,1
2620,5,"08 6, 2015",A5BJMAHZWGJ7N,B000VV1YOY,"This Essie Apricot cuticle oil is one of the greats. It's light, absorbs quickly and smells amazing!
The moisture lasts, and doesn't leave my fingers feeling greasy or oily.",1438819200,0,0,0,0,1
1413,5,"12 22, 2013",AGREG8QB61C85,B000FI4S1E,"Love it! moisturizing, citrus fragrance is fresh and clean,will purchase again! Is not overpowering like many washes can often be.",1387670400,0,0,0,0,1
5861,4,"09 1, 2017",A1MZL91Z44RN06,B00W259T7G,"This seems to be a pretty high quality soap as far as feel goes, and how slowly it disintegrates.  However, I do not love it because I do not like the smell that it has.  It seems way too close to that typical ""man's smell"" that disgraces so many products and dudes all over the world.  I mean, it's definitely a higher end version of this smell than, say, Axe body spray or something terrible like that, but it's in that general realm.  It is possible that this smell comes from a real style soap like this and is later stolen by all the cheap brands, but for better or worse, I still don't like it due to all the cheap brands out there using it.",1504224000,0,0,0,1,0
1183,5,"11 6, 2016",A14BV6AW987ZDN,B000FI4S1E,Good deal,1478390400,0,0,0,0,1
2281,5,"04 24, 2015",AE6VLUKO55M7H,B000URXP6E,"best shampoo i ever used, they give you 10 extra sample packs too  :3",1429833600,0,0,0,0,1
8241,5,"07 9, 2015",A2YKXSS79L6F2Q,B00TWYLCZ2,I Love it.  It is making me very comfortable to ware all day.,1436400000,0,0,0,0,1
3898,5,"04 19, 2018",A39IK7T2K2V2KA,B001OHV1H4,"My psoriasis has been a lot less irritated now that I am swapping in this shampoo to replace my other shampoo every other wash. Not only is my hair cleaner, but my psoriasis is a lot less flared up. I am very happy with this shampoo.",1524096000,0,0,0,0,1
6969,4,"07 19, 2017",A1KDM0N4UCEPHA,B01E7UKR38,"essie Gel Couture Nail Polish
Warming Hue -
I have several colors in the essie Gel line.
This one is one that is a very light shade of pink with almost white undertones to it.
Has a shimmer to it even without the top coat applied.
One thing for myself about this particular color is it was harder to get it just right on my nails.
Sometimes it seemed more translucent and in order to get enough coats had to be careful of strokes showing up.
The rounded brush helps to keep color where it needs to go and not all over the edges of your finger.
I have rather long nails and sometimes it takes a bit to get good coverage on them with these  lighter shades.
The color is still growing on me but I do like the essie brand over others I have tried.
It lasts on my nails much longer and is almost effortless to take off with nail remover.",1500422400,0,0,0,1,0
4557,5,"06 9, 2011",A1MDMJMRINB83F,B0052YPJ7S,"Hi shima,  i have been following you for a while now...i love your products..ive purchased the oil, conditioner and shampoo...they are the best....i don't know why i didn't find you before but i am glad that you are one of my hair inspirations....the shampoo smell so good and plus it makes my hair easy to comb when washing out...the leave in conditioner is a must have...i can't wait to order more products from you..Keep doing the good work...God Bless...",1307577600,0,0,0,0,1
1421,5,"12 3, 2013",A2TCHF5VRXR7YF,B000FI4S1E,I love this bubble bath!  This bubble bath smell wonderful and I love soaking in it.  After a bath you skin is so soft and you smell great all day!,1386028800,0,0,0,0,1
7343,5,"05 20, 2016",A2LC8696JPJ3X7,B004EMKRE4,"LOL...how could so much moisturizing oil dry out someones hair?  When I read that....Pahahahah.  This product is the lightest oil that I've ever had the pleasure of using.  Before I began using this product, I clipped my ends, although they did not need clipping and I started a new routine.  I have the finest of hair and all I do is moisturize my ends first, then all around the edges and then I part down the middle and do both sides and run my fingers from root the end all through the rest. I wait until it all soaks in and then I roll my hair at night.  When I wake up to style it, I run my oiled fingers through it again and it looks so glossy and feels so sleek and smooth, with NO HINT of being greasy what so ever.  It's like magic in a bottle and I don't typically rave over hair oils but I had to defend this one. My goal used to be to make my hair look and feel like silk.  Who knew that their was something better than silk for your hair?  My hair looks and feel like MINK and I am an African American woman, and yes...my hair is growing like Rapunzel and I do not work for this company, nor has anyone ask me to do any sort of review of any kind... EVER.  I hope every one does sleep on this product :)  It will keep my price low. Especially sense I just bought the 4 last bottles, so please keep hating...Hahhahaha",1463702400,0,0,0,0,1
3584,5,"02 13, 2013",A62S8THB8S60B,B0012Y0ZG2,"~BACKGROUND~
We purchased this cape to use when my wife gives me and my son haircuts.

~PROS~
- Adjustable neck strap (works on me and my 7 year-old son)
- Good size at 36"" x 54""
- Repels water
- Appears to be well made

~CONS~
I would prefer a snap closure versus the velcro which tends to hold hair - a minor gripe though.

~CONCLUSION~
This cape has made cutting hair easier as it keeps cut hair off of clothes and contains a lot of hair so it can be dumped into the trash can and shaken out outside.",1360713600,0,0,0,0,1
6376,5,"04 24, 2013",A1EVV74UQYVKRY,B016V8YWBC,"This Dove bar has a wonderful clean scent, cleans well and rinses well. What else can you say about soap?

Well, it smells great on my husband - a definite plus, for him! It doesn't seem to dry out his skin and since we have softened water, it is sometimes difficult to feel like you have rinsed all the soap off. This is good and doesn't seem to leave a residue.",1366761600,0,0,0,0,1
3741,1,"01 16, 2012",A2OL5WLCNZVD9K,B001EWEP9A,"Read the ingredient list, it says ""parfum"". That's French for perfume. That means it contains the scent to which so many of us are allergic. I wonder how many people, reading the label that says ""unscented"" in big letters, fail to check the small print and buy this stuff only to discover that they react badly to it? And I wonder how many people get headaches, rashes, mental confusion, inability to breathe, etc., and don't realize that they actually have an allergy to perfumes, aftershaves and other scented products?

Revlon, the maker of Mitchum deodorant/antiperspirant, used to be an excellent company. But across the board they have started messing with products that used to be reliable. How foolish. And how very inconvenient for those of us who thought we had figured out what worked for us. Now I am finding strong stenches (fragrances are stenches to someone whose allergies are triggered by them) even in Revlon's rouges and lipsticks. I had my lips blister and peel due to one of them. Now they mark a deodorant that contains the effective ingredient I'm looking for, Aluminum Zirconium Tetrachlorohydrex Gly, ""unscented"" when in fact it contains fragrance. Maybe I should call the FDA.

Revlon, why don't you simply return to making the liquid roll-on that contains Aluminum Zirconium Tetrachlorohydrex Gly and leave out the scent? Read the other reviews. People are having a real problem with this formulation.",1326672000,1,0,0,0,0
113,5,"09 6, 2017",A324UOF43Y43WY,B00006L9LC,"Great ingredients, but didn't agree with my skin",1504656000,0,0,0,0,1
7437,5,"08 22, 2012",A19UTUEBWKIZFT,B00727VLSY,"What a wonderful way to try out eight products from this luxurious brand.
I was introduced to the amazing Sugar Scrub in a spa and got this to sample more products.

You get these products in this sampler:

Body butter  --coconut  Has the great coconut scent in a softening skin butter formula.

Body Gel -- Dilorescue  great for sunburn, insect bits, irritations, rashes etc. Very cooling and soothing.  Contains a nut unique to the south Pacific islands as a healing soothing balm.

Coconut Creme Body Scrub -- this is still my very favorite of all of the products.  I've never appreciated a scrub that much before this.  This version is the creamey lotion but I want the Sugar Scrub in the jar.  These two do the same thing as far as making my skin the smoothest it's ever been. And the scent is amazing.  You can get this and most of the products in the scent of your choice and they are all amazing but the Mango is my favorite.

Hydrating Body Lotion -- Mango  I plan to get a big bottle of this.  It's fantastic and I can't get enough of this scent.  I've never experienced a mango scent before in products.

Nourishing Exotic Oil --White Ginger Lily  I love this also.  It's healing and smoothing.  The oil absorbs in ten minutes into the skin leaving it incredibly smooth.

Coconut Milk Shower Gel -- Starfruit  This scent is a close second in favorite of mine to mango.
As with all products in this line, it leaves skin almost unaturally smooth and silky.

Coconut Milk Shampoo -- soft shiney hair after using this wonderfully scented shampoo.l

Coconut Creme Conditioner -- Soft smooth silky hair that smells like coconuts.  Yummy.

Actually I want all of these, but especially the Mango Sugar Scrub.  These are expensive but so worth it.",1345593600,0,0,0,0,1
5156,5,"10 18, 2015",A35A6QK6OBSHT3,B00FE90M0K,"Works great for Very oily skin types. It may be too drying for combo or normal skin types. Looks great under makeup (heavy or light..Halloween,theatrical, or everyday) Keeps the face super matte but touch-ups may still be needed to keep it matte past 4 hour wear. Great stuff.",1445126400,0,0,0,0,1
7348,5,"01 31, 2017",ATEX4XVEQYN7B,B004KEJ65C,gives a nice body to thin hair.,1485820800,0,0,0,0,1
516,5,"10 27, 2013",A3YUWJTIW15EE,B00006L9LC,I love this lotion and use it under make up for a glow. I used to be able to but it locally but can't find it any more. This is a good price.,1382832000,0,0,0,0,1
214,5,"08 26, 2016",A26FGQS4JIPDH5,B00006L9LC,My son also likes this,1472169600,0,0,0,0,1
223,5,"07 26, 2016",A3QDLODOQKUXGN,B00006L9LC,Great fragrance and product.  Will purchase again.,1469491200,0,0,0,0,1
4050,5,"07 21, 2016",A325V83PQAIH80,B001OHV1H4,Fantastic Product.  Been using it for years! You'll want to use it will the conditioner as well.,1469059200,0,0,0,0,1
3983,5,"02 1, 2017",A9MRAYG97FQML,B001OHV1H4,Excellent Amla powder! Very fresh and edible quality. You need be little competitive on the price though.,1485907200,0,0,0,0,1
5680,2,"07 25, 2015",AS13BSE2HKCKN,B00TP843ZQ,"Didn't work...a waste of money....there were no instructions for this item, they were faded on the outside.",1437782400,0,1,0,0,0
2750,5,"04 28, 2018",ADW00ZRLWD3KG,B0012Y0ZG2,I received the shampoo because I was suffering from dandruff and I was like ok lets try it and I couldn't believe the result from only just one wash. it cleared out the dandruff without drying my hair out. My hair felt smooth and Fresh after just the first wash. I tried aveda spray before but it was useless and waste of money,1524873600,0,0,0,0,1
